age,country,education,work_experience,language_score,financial_status,previous_visas,travel_history,visa_type,purpose,marital_status,dependents,application_complete,job_offer,sponsor,processing_time_days,visa_status
56,Greece,PhD,25,7.4,147498,4,7,Work,Employment,Married,3,1,1,0,30,Approved
29,Bulgaria,Bachelor,0,7.0,38942,1,4,Family,Family Reunion,Single,0,0,0,1,73,Rejected
69,Qatar,Bachelor,6,6.3,34502,1,4,Business,Business,Divorced,1,0,1,0,76,Rejected
24,Italy,Bachelor,1,6.8,21585,3,4,Student,Education,Single,0,1,0,0,40,Approved
51,Saudi Arabia,PhD,19,7.2,151387,0,5,Work,Employment,Married,0,1,1,0,95,Rejected
62,France,Bachelor,8,8.0,74615,0,3,Work,Employment,Single,0,1,0,0,87,Rejected
59,France,PhD,16,7.8,149135,4,6,Student,Education,Divorced,2,1,0,0,27,Approved
18,Pakistan,Master,2,7.5,40206,1,2,Student,Education,Married,3,1,0,0,46,Approved
47,Morocco,Master,5,8.4,115450,2,7,Business,Business,Married,0,1,1,0,73,Rejected
37,Malaysia,Master,8,8.3,84262,0,0,Work,Employment,Single,0,1,1,1,27,Approved
26,Saudi Arabia,Bachelor,3,6.5,27994,0,3,Student,Education,Single,0,1,0,1,15,Approved
66,Hungary,High School,1,5.8,5854,4,4,Tourist,Tourism,Married,0,1,0,0,57,Rejected
21,Czech Republic,Master,2,8.0,107863,4,7,Family,Family Reunion,Single,0,1,0,1,38,Rejected
23,Nigeria,Master,2,6.5,74754,2,5,Tourist,Tourism,Married,0,1,0,0,44,Approved
28,Slovakia,High School,1,5.5,19075,1,1,Student,Education,Divorced,0,0,0,0,71,Rejected
58,Argentina,Master,2,7.8,52874,0,7,Tourist,Tourism,Divorced,1,0,0,0,47,Approved
46,Ghana,Bachelor,5,6.9,70108,0,3,Tourist,Tourism,Married,0,1,0,0,18,Approved
20,Thailand,Bachelor,0,7.0,65525,4,6,Business,Business,Married,1,1,1,1,47,Approved
22,UAE,Bachelor,0,7.5,60447,0,3,Business,Business,Married,2,1,1,1,58,Rejected
66,Netherlands,PhD,5,7.2,175668,0,7,Student,Education,Widowed,1,1,0,0,79,Rejected
41,South Korea,Master,16,7.5,85017,0,7,Tourist,Tourism,Single,0,1,0,1,32,Approved
67,Algeria,Master,8,7.5,110316,3,3,Work,Employment,Single,0,1,1,0,44,Approved
49,Kuwait,High School,4,6.7,28893,0,3,Work,Employment,Married,0,1,1,1,79,Rejected
22,Nepal,Master,2,7.3,79734,3,4,Student,Education,Single,0,1,0,0,43,Approved
43,Saudi Arabia,Master,2,6.8,56896,1,6,Work,Employment,Married,0,1,0,1,34,Rejected
46,Lebanon,Bachelor,4,6.2,47932,3,7,Work,Employment,Single,0,1,1,1,39,Approved
56,Taiwan,Bachelor,9,7.2,52580,3,4,Work,Employment,Married,3,1,0,1,20,Approved
33,China,High School,2,6.6,11833,2,2,Student,Education,Married,0,1,0,1,75,Rejected
60,Italy,Bachelor,13,6.0,47122,1,3,Work,Employment,Single,0,1,1,1,56,Approved
21,Bulgaria,Master,2,8.3,73496,4,16,Work,Employment,Married,3,1,0,1,61,Rejected
66,Iran,Master,13,7.4,111180,0,2,Work,Employment,Married,3,1,1,1,28,Approved
53,Indonesia,PhD,13,7.8,111934,3,5,Student,Education,Married,0,1,0,0,35,Approved
40,Sri Lanka,Master,11,8.4,49348,2,8,Student,Education,Single,0,1,0,1,71,Approved
55,Bangladesh,Bachelor,8,7.6,39065,1,5,Student,Education,Single,0,1,0,0,64,Rejected
24,Portugal,Master,2,6.7,112124,3,8,Tourist,Tourism,Single,0,1,0,0,61,Approved
67,Bulgaria,Master,10,8.0,79298,4,15,Family,Family Reunion,Married,0,0,0,1,20,Approved
61,Portugal,PhD,25,7.1,153396,2,6,Work,Employment,Single,0,1,1,0,38,Approved
18,Switzerland,Master,2,6.6,118859,1,6,Student,Education,Divorced,1,1,0,1,43,Approved
58,Qatar,Bachelor,8,6.6,77043,4,15,Work,Employment,Single,0,1,0,0,28,Approved
42,Jordan,High School,2,5.1,6015,0,5,Business,Business,Divorced,0,1,1,0,88,Rejected
44,Norway,Master,4,6.8,40404,3,3,Student,Education,Married,2,1,0,1,72,Rejected
27,Thailand,Bachelor,0,7.9,37100,3,3,Tourist,Tourism,Single,0,1,0,0,39,Approved
51,Switzerland,Master,13,8.1,113963,4,14,Student,Education,Married,2,1,0,0,26,Approved
28,Finland,PhD,5,9.5,115393,1,6,Student,Education,Married,1,1,0,0,49,Approved
47,Finland,Master,11,8.4,59963,3,10,Work,Employment,Married,1,1,1,1,38,Approved
33,Sri Lanka,Master,2,8.3,73434,4,5,Tourist,Tourism,Single,0,1,0,0,58,Approved
39,Russia,Bachelor,11,6.4,71745,0,5,Work,Employment,Married,2,1,1,0,49,Approved
65,UAE,High School,0,6.2,27195,1,4,Student,Education,Divorced,0,0,0,1,20,Approved
64,Morocco,Bachelor,12,7.7,43333,2,4,Work,Employment,Married,1,1,1,1,55,Rejected
61,Algeria,Master,5,7.2,66734,3,8,Student,Education,Married,0,1,0,1,53,Approved
69,Poland,Master,14,7.2,68024,0,4,Work,Employment,Single,0,1,0,0,53,Approved
41,Czech Republic,Master,16,7.3,116323,1,4,Family,Family Reunion,Single,0,1,0,1,52,Approved
68,Saudi Arabia,PhD,12,8.2,148236,3,7,Work,Employment,Married,0,1,1,1,19,Approved
31,Qatar,High School,3,5.6,19594,0,5,Work,Employment,Married,3,1,0,0,44,Rejected
54,Rwanda,Master,7,7.3,82078,0,4,Business,Business,Married,3,1,1,0,49,Approved
