age,country,education,work_experience,language_score,financial_status,previous_visas,travel_history,visa_type,purpose,marital_status,dependents,application_complete,job_offer,sponsor,processing_time_days,visa_status,age_group,experience_level,language_proficiency,high_financial_status,total_experience_score,application_strength,has_support,has_dependents,processing_speed,age_experience_ratio
56,Greece,PhD,25,7.4,147498,4,7,Work,Employment,Married,3,1,1,0,30,Approved,55+,Expert,Low,1,33,0.5884794291616297,0,1,Fast,2.1538461538461537
29,Bulgaria,Bachelor,0,7.0,38942,1,4,Family,Family Reunion,Single,0,0,0,1,73,Rejected,26-35,Entry,Low,0,2,0.07946708205089707,0,0,Slow,29.0
69,Qatar,Bachelor,6,6.3,34502,1,4,Business,Business,Divorced,1,0,1,0,76,Rejected,55+,Senior,Low,0,8,0.1534595365368138,0,1,Slow,9.857142857142858
24,Italy,Bachelor,1,6.8,21585,3,4,Student,Education,Single,0,1,0,0,40,Approved,18-25,Entry,Low,0,7,0.06660058036442329,0,0,Normal,12.0
51,Saudi Arabia,PhD,19,7.2,151387,0,5,Work,Employment,Married,0,1,1,0,95,Rejected,46-55,Expert,Low,1,19,0.5109597094553842,0,0,Very Slow,2.55
62,France,Bachelor,8,8.0,74615,0,3,Work,Employment,Single,0,1,0,0,87,Rejected,55+,Senior,Low,1,8,0.24637095175105939,0,0,Slow,6.888888888888889
59,France,PhD,16,7.8,149135,4,6,Student,Education,Divorced,2,1,0,0,27,Approved,55+,Expert,Low,1,24,0.4679992715675793,0,1,Fast,3.4705882352941178
18,Pakistan,Master,2,7.5,40206,1,2,Student,Education,Married,3,1,0,0,46,Approved,18-25,Entry,Low,0,4,0.11045104437121578,0,1,Normal,6.0
47,Morocco,Master,5,8.4,115450,2,7,Business,Business,Married,0,1,1,0,73,Rejected,46-55,Mid,Low,1,9,0.2675008524264255,0,0,Slow,7.833333333333333
37,Malaysia,Master,8,8.3,84262,0,0,Work,Employment,Single,0,1,1,1,27,Approved,36-45,Senior,Low,1,8,0.2617548493563443,0,0,Fast,4.111111111111111
26,Saudi Arabia,Bachelor,3,6.5,27994,0,3,Student,Education,Single,0,1,0,1,15,Approved,26-35,Mid,Low,0,3,0.10290918798164163,0,0,Fast,6.5
66,Hungary,High School,1,5.8,5854,4,4,Tourist,Tourism,Married,0,1,0,0,57,Rejected,55+,Entry,Low,0,9,0.03998223339347517,0,0,Normal,33.0
21,Czech Republic,Master,2,8.0,107863,4,7,Family,Family Reunion,Single,0,1,0,1,38,Rejected,18-25,Entry,Low,1,10,0.2135305053726421,0,0,Normal,7.0
